row_index,organization_original,standardized_org,similarity_score
7380,"Sheridan Ross, PC",Sheridan Ross P.C.,100.0
7381,"Merchant & Gould, P.C.",Merchant & Gould P.C.,100.0
7399,"Johnson, Marcou, Isaacs, & Nix 27 City Square","Johnson, Marcou, Isaacs & Nix, LLC",100.0
7406,"Kilpatrick Townsend & Stockton, LLP",Kilpatrick Townsend & Stockton LLP,100.0
7414,Sheridan Ross,Sheridan Ross P.C.,100.0
7421,"Fitch, Even, Tabin & Flannery, LLP","Fitch, Even, Tabin & Flannery LLP",100.0
7424,"Barnes & Thornburg, LLP",Barnes & Thornburg LLP,100.0
7427,"Marshall, Gerstein & Borun LLP","MARSHALL, GERSTEIN & BORUN LLP",100.0
7429,"Wilson Sonsini Goodrich & Rosati, P.C.",Wilson Sonsini Goodrich & Rosati,100.0
7431,Womble Bond Dickinson LLP,Womble Bond Dickinson (US) LLP,100.0
7435,Mintz Levin Cohn Ferris Glovsky and Popeo PC,"Mintz Levin Cohn Ferris Glovsky and Popeo, P.C.",100.0
7436,Baker & McKenzie,Baker & McKenzie LLP,100.0
7446,DICKINSON WRIGHT PLLC,Dickinson Wright PLLC,100.0
7451,Wilson Sonsini Goodrich Rosati,Wilson Sonsini Goodrich & Rosati,100.0
7471,"Slater & Matsil, L.L.P.","Slater Matsil, LLP",100.0
7493,"Fish and Richardson, PC",Fish & Richardson P.C.,100.0
7499,Guntin & Gust,"Guntin & Gust, PLC",100.0
7500,Morgan Lewis & Bockius,"Morgan, Lewis & Bockius LLP",100.0
7502,Lee & Hayes PC,"Lee & Hayes, P.C.",100.0
7515,"Mintz, Levin, Cohn, Ferris, Glovsky, and Popeo, P.C.","Mintz Levin Cohn Ferris Glovsky and Popeo, P.C.",100.0
7530,"Konrad, Raynes, Davda & Victor LLP","KONRAD, RAYNES, DAVDA & VICTOR LLP",100.0
7533,"Troutman Sanders, LLP",Troutman Pepper Hamilton Sanders LLP,100.0
7537,"Withrow & Terranova, P.L.L.C.","Withrow & Terranova, PLLC",100.0
7541,"Goodwin Procter, LLP",Goodwin Procter LLP,100.0
7543,"Fish & Richardson, P.C.",Fish & Richardson P.C.,100.0
7548,Lerner David Littenberg Krumholtz and Mentlik LLP,Lerner David LLP,100.0
7549,LERNER DAVID LITTENBERG KRUMHOLZ & MENTLIK LLP LERNER DAVID LITTENBERG KRUMHOLZ & MENTLIK LLP,Lerner David LLP,100.0
7556,"Nixon & Vanderhye, P.C.",Nixon & Vanderhye P.C.,100.0
7570,"Haynes & Boone, LLP","Haynes and Boone, LLP",100.0
7572,Knobbe Martens Olson & Bear LLP,"Knobbe, Martens, Olson & Bear, LLP",100.0
7573,"Alston & Bird, LLP Vantage South End",Alston & Bird LLP,100.0
7584,Womble Bond Dickinson Attn: Joshua Davis,Womble Bond Dickinson (US) LLP,93.33333333333333
7589,Novak Druce Carroll,NOVAK DRUCE CARROLL LLP,100.0
7592,"MRG IP LAW, P.A. DBA Mueting Raasch Group",Mueting Raasch Group,100.0
7593,Andrews Kurth LLP,Hunton Andrews Kurth LLP,100.0
7598,Kilpatrick Townsend & Stockton,Kilpatrick Townsend & Stockton LLP,100.0
7600,"Amin, Turocy & Watson","Amin, Turocy & Watson, LLP",100.0
7601,"Knobbe Martens Olson & Bear, LLP","Knobbe, Martens, Olson & Bear, LLP",100.0
7608,"Mueting, Raasch & Gebhardt, P.A.",Mueting Raasch Group,100.0
7626,"Sheppard, Mullin, Richter & Hampton LLP",Sheppard Mullin Richter & Hampton LLP,100.0
7630,Wood Herron and Evans LLP,Wood Herron & Evans LLP,100.0
7634,McCarter & English LLP,"McCarter & English, LLP",100.0
7653,Alston & Bird LLP The Atlantic Building,Alston & Bird LLP,100.0
7669,"Wolf Greenfield & Sacks, P.C.","Wolf, Greenfield & Sacks, P.C.",100.0
7672,"Mintz, Levin, Cohn, Ferris, Glovsky and Popeo, PC","Mintz Levin Cohn Ferris Glovsky and Popeo, P.C.",100.0
7673,Morrison and Foerster LLP,Morrison & Foerster LLP,100.0
7677,"Perkins Coie, LLP",Perkins Coie LLP,100.0
7690,Pepper Hamilton LLP,Troutman Pepper Hamilton Sanders LLP,100.0
7694,Mintz Levin Cohn Ferris Glovsky and Popeo P.C.,"Mintz Levin Cohn Ferris Glovsky and Popeo, P.C.",100.0
7695,Fish and Richardson,Fish & Richardson P.C.,100.0
7727,Nicholson De Vos Webster & Elliott LLP,NICHOLSON DE VOS WEBSTER & ELLIOTT LLP,100.0
7741,Hayes Soloway P.C.,HAYES SOLOWAY P.C.,100.0
7742,Alston & Bird One Atlantic Center,Alston & Bird LLP,100.0
7760,Nicholson De Vos Webster & Elliott LLP,NICHOLSON DE VOS WEBSTER & ELLIOTT LLP,100.0
7773,Norton Rose Fulbright,NORTON ROSE FULBRIGHT US LLP,100.0
7783,GTC Law Group LLP & Affiliates,GTC Law Group PC & Affiliates,100.0
7785,Hayes Soloway PC,HAYES SOLOWAY P.C.,100.0
7787,"Faegre, Drinker, Biddle, and Reath",Faegre Drinker Biddle & Reath LLP,100.0
7791,Stites and Harbison,"Stites & Harbison, PLLC",100.0
7798,ArentFox Schiff,ArentFox Schiff LLP,100.0
7803,Norton Rose Fullbright US LLP,NORTON ROSE FULBRIGHT US LLP,97.95918367346938
7821,Nixon Peabody Exchange Place,NIXON PEABODY LLP,100.0
7823,Holland and Hart LLP,Holland & Hart LLP,100.0
7827,Fish & Richardson P.C. The McPherson Building,Fish & Richardson P.C.,100.0
7830,McCarter & English LLP,"McCarter & English, LLP",100.0
7831,Warner Norcross & Judd LLP,Warner Norcross + Judd LLP,100.0
7842,"Calfee, Halter, & Griswold LLP","Calfee, Halter & Griswold LLP",100.0
7843,Dority & Manning,"Dority & Manning, P.A.",100.0
7847,Thorpe North and Western LLP,Thorpe North & Western,100.0
7852,Baker Hostetler LLP,BakerHostetler,100.0
7857,Fish & Richardson,Fish & Richardson P.C.,100.0
7866,"Wilson Sonsini Goodrich and Rosati, P.C.",Wilson Sonsini Goodrich & Rosati,100.0
7872,Frost Brown Todd LLC,Frost Brown Todd LLP,100.0
7875,"Lorenz & Kopf, LLP",Lorenz & Kopf LLP,100.0
7876,"Ditthavong and Steiner, P.C.","DITTHAVONG, STEINER & MLOTKOWSKI",100.0
7877,"Knobbe Martens Olson and Bear, LLP","Knobbe, Martens, Olson & Bear, LLP",100.0
7887,"Michael Best & Friedrich, LLP",Michael Best & Friedrich LLP,100.0
7903,Crowe & Dunlevy,Crowe & Dunlevy LLC,100.0
7904,Workman Nydegger and Seeley,Workman Nydegger,100.0
7917,Womble Bond Dickinson,Womble Bond Dickinson (US) LLP,100.0
7920,"Carter, DeLuca, Farrell & Schmidt, LLP","Carter, DeLuca & Farrell LLP",100.0
7926,"Dinsmore & Shohl, LLP",Dinsmore & Shohl LLP,100.0
7929,Pearl Cohen Zedek Latzer Baratz,PEARL COHEN ZEDEK LATZER BARATZ LLP,100.0
7931,Young Basile Hanlon & MacFarlane P.C.,"Young Basile Hanlon & MacFarlane, P.C.",100.0
7937,Spencer Fane,Spencer Fane LLP,100.0
7960,"Hamilton, Brook, Smith, & Reynolds","Hamilton, Brook, Smith & Reynolds, P.C.",100.0
7970,"Withrow & Terranova, P.L.L.C.","Withrow & Terranova, PLLC",100.0
7981,"Bannner & Witcoff, LTD","Banner & Witcoff, Ltd.",97.29729729729729
7985,"Christensen O'Connor Johnson Kindness, PLLC",Christensen O'Connor Johnson Kindness PLLC,100.0
8025,Dinsmore & Shohl,Dinsmore & Shohl LLP,100.0
8032,McCarter & English LLP,"McCarter & English, LLP",100.0
8037,"Scully Scott Murphy & Presser, PC","Scully, Scott, Murphy & Presser, P.C.",100.0
8060,Wilson Sonsini Goodrich & Rosati PC,Wilson Sonsini Goodrich & Rosati,100.0
8061,LERNER DAVID LLP,Lerner David LLP,100.0
8074,"KEATING & BENNETT, LLP","Keating & Bennett, LLP",100.0
8080,"McDermott, Will & Emery LLP",McDermott Will & Emery LLP,100.0
8087,"Patterson & Sheridan, LLP","Patterson + Sheridan, LLP",100.0
8090,"Brooks & Cameron, PLLC","Brooks, Cameron & Huebsch, PLLC",100.0
8094,"Fish & Richardson, P.C. 3200 RBC Plaza",Fish & Richardson P.C.,100.0
8101,Kilpatrick Townsend & Stockton,Kilpatrick Townsend & Stockton LLP,100.0
8102,"Thomas, Kayden, Horstemeyer & Risley, LLP","Thomas | Horstemeyer, LLP",100.0
8108,"Shook, Hardy & Bacon, L.L.P.","Shook, Hardy & Bacon L.L.P.",100.0
8111,"Banner & Witcoff, LTD","Banner & Witcoff, Ltd.",100.0
8113,"Wilson, Sonsini, Goodrich & Rosati, PC",Wilson Sonsini Goodrich & Rosati,100.0
8115,"McDermott, Will & Emery LLP",McDermott Will & Emery LLP,100.0
8133,"Buchanan Ingersoll & Rooney, PC",Buchanan Ingersoll & Rooney PC,100.0
8135,Fitch Even Tabin & Flannery LLP,"Fitch, Even, Tabin & Flannery LLP",100.0
8137,Warner Norcross and Judd LLP,Warner Norcross + Judd LLP,100.0
8145,"Jackson Walker, L.L.P.",Jackson Walker L.L.P.,100.0
8167,Baker Botts LLP,Baker Botts L.L.P.,100.0
8189,Panitch Schwarze Belisario & Nadel,Panitch Schwarze Belisario & Nadel LLP,100.0
8191,Ladas & Parry LLP,"Ladas & Parry, LLP",100.0
8197,"Mintz, Levin, Cohn, Ferris, Glovsky and Popeo, P.C.","Mintz Levin Cohn Ferris Glovsky and Popeo, P.C.",100.0
8200,K&L Gates,K&L Gates LLP,100.0
8203,"Heslin Rothenberg Farley and Mesiti, PC",Heslin Rothenberg Farley & Mesiti P.C.,100.0
8223,"McAndrews, Held & Malloy LTD.","McAndrews, Held & Malloy, Ltd.",100.0
8224,Fish and Richardson P.C.,Fish & Richardson P.C.,100.0
8242,"Lee & Hayes, PLLC","Lee & Hayes, P.C.",100.0
8271,DLA Piper,DLA Piper LLP (US),100.0
8279,Sheppard Mullin,Sheppard Mullin Richter & Hampton LLP,100.0
8282,Scully Scott Murphy and Presser,"Scully, Scott, Murphy & Presser, P.C.",100.0
8284,Drinker Biddle & Reath LLP,Faegre Drinker Biddle & Reath LLP,100.0
8285,Husch Blackwell Sanders LLP,Husch Blackwell LLP,100.0
8306,"Carter, DeLuca, Farrell & Schmidt, LLP","Carter, DeLuca & Farrell LLP",100.0
8319,Arent Fox LLP,ArentFox Schiff LLP,100.0
8327,Fox Rothschild,Fox Rothschild LLP,100.0
8333,Banner & Witcoff Ltd,"Banner & Witcoff, Ltd.",100.0
8342,"Nath, Goldberg, and Meyer","Nath, Goldberg & Meyer",100.0
8354,"Foley Hoag, LLP",Foley Hoag LLP,100.0
8369,Smith Baluch,Smith Baluch LLP,100.0
8383,"Ditthavong & Steiner, PC","DITTHAVONG, STEINER & MLOTKOWSKI",100.0
8384,Ditthavong Steiner & Mlotkowski,"DITTHAVONG, STEINER & MLOTKOWSKI",100.0
8386,Bookoff McAndrews PLLC,"Bookoff McAndrews, PLLC",100.0
8391,"Lee & Hayes, PLLC","Lee & Hayes, P.C.",100.0
8393,Holland & Hart,Holland & Hart LLP,100.0
8401,Greenberg Traurig LLP,"Greenberg Traurig, LLP",100.0
8405,Thompson Coburn,Thompson Coburn LLP,100.0
8410,"Mintz, Levin, Cohn, Ferris, Glovsky & Popeo, P.C.","Mintz Levin Cohn Ferris Glovsky and Popeo, P.C.",100.0
8419,"FRESH IP, PLC",Fresh IP PLC,100.0
8431,McNees Wallace & Nurick,McNees Wallace & Nurick LLC,100.0
8432,"Rossi, Kimms & McDowell LLP","ROSSI, KIMMS & McDOWELL LLP",100.0
8442,"Calfee Halter and Griswold, LLP","Calfee, Halter & Griswold LLP",100.0
8450,Blank Rome,Blank Rome LLP,100.0
8463,"Christensen O'Connor Johnson Kindness, PLLC",Christensen O'Connor Johnson Kindness PLLC,100.0
8467,"KILPATRICK TOWNSEND & STOCTON, LLP",Kilpatrick Townsend & Stockton LLP,98.18181818181819
8488,"Carlson, Gaskey & Olds","Carlson, Gaskey & Olds, P.C.",100.0
8489,"Mintz , Levin, Cohn, Ferris, Glovsky and Popeo , P .C","Mintz Levin Cohn Ferris Glovsky and Popeo, P.C.",100.0
8492,"Mintz, Levin, Cohn, Ferris, Glovsky and Popeo, P.C.","Mintz Levin Cohn Ferris Glovsky and Popeo, P.C.",100.0
8499,"FLYNN, THIEL, BOUTELL & TANIS, P.C.","FLYNN THIEL, P.C.",100.0
8529,"Alston & Bird, LLP One Atlantic Center",Alston & Bird LLP,100.0
8535,"Volpe and Koenig, PC",Volpe Koenig,100.0
8538,"Greenblum & Bernstein, P.L.C.","GREENBLUM & BERNSTEIN, P.L.C.",100.0
8551,Buchanan Ingersoll & Rooney,Buchanan Ingersoll & Rooney PC,100.0
8561,"Dickinson Wright, PLLC",Dickinson Wright PLLC,100.0
8563,"Rankin, Hill & Clark, LLP","Rankin, Hill & Clark LLP",100.0
8564,Nixon Peabody LLP,NIXON PEABODY LLP,100.0
8576,Merchant & Gould,Merchant & Gould P.C.,100.0
8578,"Fletcher Yoder, P.C. Law Firm","Fletcher Yoder, P.C.",100.0
8579,Quarles and Brady LLP,Quarles & Brady LLP,100.0
8582,Collard & Roe PC,"Collard & Roe, P.C.",100.0
8585,Fish & Richardson,Fish & Richardson P.C.,100.0
8587,Dickinson Wright PLLC Dickinson Wright PLLC,Dickinson Wright PLLC,100.0
8598,"Cantor Colburn, LLP",CANTOR COLBURN LLP,100.0
8599,Cantor Colburn LLP,CANTOR COLBURN LLP,100.0
8610,Dorton & Willis LLP,"Dorton & Willis, LLP",100.0
8611,Morrison & Foerster,Morrison & Foerster LLP,100.0
8618,"Wolf Greenfield & Sacks, P.C.","Wolf, Greenfield & Sacks, P.C.",100.0
8638,Morrison & Foerster,Morrison & Foerster LLP,100.0
8642,DLA Piper,DLA Piper LLP (US),100.0
8643,"Patterson & Sheridan, LLP","Patterson + Sheridan, LLP",100.0
8648,"Patterson & Sheridan, LLP","Patterson + Sheridan, LLP",100.0
8649,"Lowe, Hauptman & Ham, LLP","HAUPTMAN HAM, LLP",100.0
8651,Cantor Colburn LLP,CANTOR COLBURN LLP,100.0
8654,"Oliff, PLC",Oliff PLC,100.0
8657,Alston and Bird LLP,Alston & Bird LLP,100.0
8664,Knobbe Martens Olson and Bear LLP,"Knobbe, Martens, Olson & Bear, LLP",100.0
8671,Dority & Manning,"Dority & Manning, P.A.",100.0
8678,"Shook, Hardy & Bacon, LLP","Shook, Hardy & Bacon L.L.P.",100.0
8691,"Dinsmore & Shohl, LLP",Dinsmore & Shohl LLP,100.0
8700,Oblon McClelland Maier & Neustadt LLP,"Oblon, McClelland, Maier & Neustadt, L.L.P.",100.0
8710,"Notaro, Michalos & Zaccaria PC Notaro, Michalos & Zaccaria PC","Notaro, Michalos & Zaccaria P.C.",100.0
8711,Nixon Peabody LLP,NIXON PEABODY LLP,100.0
8725,"Kilpatrick Stockton, LLP",Kilpatrick Townsend & Stockton LLP,100.0
8729,"Turocy & Watson, LLP","Amin, Turocy & Watson, LLP",100.0
8734,"Lerner David Littenberg Krumholz & Mentlik, LLP",Lerner David LLP,100.0
8752,Dorsey and Whitney LLP,Dorsey & Whitney LLP,100.0
8754,"Alston & Bird, LLP",Alston & Bird LLP,100.0
8757,"Renner, Otto Boisselle, & Sklar, LLP","Renner, Otto, Boisselle & Sklar, LLP",100.0
8777,"Duane Morris, LLP",Duane Morris LLP,100.0
8778,"Kimberly-Clark Worldwide, Inc.","KIMBERLY-CLARK WORLDWIDE, INC.",100.0
8781,"Schwegman, Lundberg, Woessner & Kluth","Schwegman Lundberg & Woessner, P.A.",100.0
8788,Cantor Colburn LLP,CANTOR COLBURN LLP,100.0
8789,Finnegan Henderson Farabow Garrett & Dunner,"Finnegan, Henderson, Farabow, Garrett & Dunner, LLP",100.0
8791,Haynes and Boone LLP,"Haynes and Boone, LLP",100.0
8794,Kilpatrick Townsend & Stockton,Kilpatrick Townsend & Stockton LLP,100.0
8795,"Fish And Richardson, P.C.",Fish & Richardson P.C.,100.0
8797,"Mintz, Levin, Cohn, Ferris, Glovsky & Popeo, P.C.","Mintz Levin Cohn Ferris Glovsky and Popeo, P.C.",100.0
8824,"Park, Vaughan, Fleming & Dowler, LLp","Park, Vaughan, Fleming & Dowler LLP",100.0
8832,"Finnegan Henderson Farabow Garrett & Dunner, LLP","Finnegan, Henderson, Farabow, Garrett & Dunner, LLP",100.0
8845,Bacon & Thomas,"BACON & THOMAS, PLLC",100.0
8851,"Hoffman Warnick, LLC",Hoffman Warnick LLC,100.0
8855,Renner Otto Boisselle & Sklar LLP,"Renner, Otto, Boisselle & Sklar, LLP",100.0
8866,"Kimberly-Clark Worldwide, Inc.","KIMBERLY-CLARK WORLDWIDE, INC.",100.0
8868,"Sterne Kessler Goldstein & Fox, P.L.L.C.","Sterne, Kessler, Goldstein & Fox P.L.L.C.",100.0
8869,Kowert Hood Munyon Rankin & Goetzel,"Kowert, Hood, Munyon, Rankin & Goetzel, P.C.",100.0
8873,"Perkins Coie, LLP",Perkins Coie LLP,100.0
8874,DLA Piper LLP,DLA Piper LLP (US),100.0
8878,Buchanan Ingersolls & Rooney PC,Buchanan Ingersoll & Rooney PC,98.03921568627452
8889,"Marshall, Gerstein & Borun LLP","MARSHALL, GERSTEIN & BORUN LLP",100.0
8907,"Schmeiser Olsen & Watts, LLP","Schmeiser, Olsen & Watts LLP",100.0
8924,Nixon Peabody LLP,NIXON PEABODY LLP,100.0
8940,Eversheds Sutherland LLP,Eversheds Sutherland (US) LLP,100.0
8943,"Nixon Peabody, LLP",NIXON PEABODY LLP,100.0
8959,"Perkins Coie, LLP",Perkins Coie LLP,100.0
8967,Wilson Sonsini Goodrich Rosati,Wilson Sonsini Goodrich & Rosati,100.0
8981,"Turocy and Watson, LLP","Amin, Turocy & Watson, LLP",100.0
8988,"Volpe and Koenig, P.C.",Volpe Koenig,100.0
8993,"Meunier Carlin and Curfman, LLC",Meunier Carlin & Curfman LLC,100.0
9006,"MLO, a professional corportation","MLO, a professional corp.",100.0
9010,"Mintz, Levin, Cohn, Ferris, Glovsky and Popeo, P.C.","Mintz Levin Cohn Ferris Glovsky and Popeo, P.C.",100.0
9014,Arent Fox LLP,ArentFox Schiff LLP,100.0
9034,"Konrad, Raynes, Davda & Victor LLP","KONRAD, RAYNES, DAVDA & VICTOR LLP",100.0
9037,"Sterne, Kessler, Goldstein & Fox","Sterne, Kessler, Goldstein & Fox P.L.L.C.",100.0
9053,Seager Tufte & Wickhem LLP,"Seager, Tufte & Wickhem, LLP",100.0
9054,Norton Rose Fulbright LLP,NORTON ROSE FULBRIGHT US LLP,100.0
9057,Lee & Hayes,"Lee & Hayes, P.C.",100.0
9059,Seager Tufte Wickhem,"Seager, Tufte & Wickhem, LLP",100.0
9060,Dickinson Wright,Dickinson Wright PLLC,100.0
9066,Finch and Maloney PLLC,Finch & Maloney PLLC,100.0
9071,Baker & Hostetler LLP,BakerHostetler,100.0
9079,Pearl Cohen Zedek Latzer LLP,PEARL COHEN ZEDEK LATZER BARATZ LLP,100.0
9081,"Mintz, Levin, Cohn, Ferris, Glovsky and Popeo, P.C","Mintz Levin Cohn Ferris Glovsky and Popeo, P.C.",100.0
9082,"Schwabe, Williamson & Wyatt P.C.","Schwabe, Williamson & Wyatt, P.C.",100.0
9092,Banner Witcoff,"Banner & Witcoff, Ltd.",100.0
9098,Foley + Lardner LLP,Foley & Lardner LLP,100.0
9100,Fish & Richardson,Fish & Richardson P.C.,100.0
9110,Baker Botts LLP,Baker Botts L.L.P.,100.0
9111,Norton Rose Fulbright US LLP,NORTON ROSE FULBRIGHT US LLP,100.0
9115,"Greenblum and Bernstein, PLC","GREENBLUM & BERNSTEIN, P.L.C.",100.0
9117,"Shook, Hardy &Bacon, LLP","Shook, Hardy & Bacon L.L.P.",100.0
9118,Nixon Peabody LLP,NIXON PEABODY LLP,100.0
9121,"John Rizvi, P.A.","John Rizvi, P.A.—The Patent Professor®",100.0
9122,"Ballard Spahr Andrews & Ingersoll, LLP",Ballard Spahr LLP,100.0
9132,Quarles and Brady,Quarles & Brady LLP,100.0
9140,"NOTARO, MICHALOS & ZACCARIA P.C.","Notaro, Michalos & Zaccaria P.C.",100.0
9145,Norton Rose Fulbright,NORTON ROSE FULBRIGHT US LLP,100.0
9149,"Edell, Shapiro & Finnan","Edell, Shapiro & Finnan, LLC",100.0
9159,McDermott Will & Emery,McDermott Will & Emery LLP,100.0
9161,"Shumaker and Sieffert, P.A.","Shumaker & Sieffert, P.A.",100.0
9177,"Blank Rome, LLP",Blank Rome LLP,100.0
9211,Saliwanchik Lloyd & Saliwanchik,"SALIWANCHIK, LLOYD & EISENSCHENK",100.0
9226,"Snell & Wilmer, L.L.P.",SNELL & WILMER L.L.P.,100.0
9241,Stites & Harbison,"Stites & Harbison, PLLC",100.0
9246,Quarles and Brady LLP,Quarles & Brady LLP,100.0
9251,Dinsmore & Shohl,Dinsmore & Shohl LLP,100.0
9255,Dentons Us LLP,Dentons US LLP,100.0
9256,"Banner & Witcoff, Ltd","Banner & Witcoff, Ltd.",100.0
9258,Miller Nash Graham & Dunn LLP Pier 70,Miller Nash LLP,100.0
9267,Baker & Hostetler LLP,BakerHostetler,100.0
9270,Lee & Hayes,"Lee & Hayes, P.C.",100.0
9281,"Saliwanchik Lloyd & Saliwanchik, PA","SALIWANCHIK, LLOYD & EISENSCHENK",100.0
9284,Nixon Peabody LLP,NIXON PEABODY LLP,100.0
9288,"Finnegan, Henderson, Farabow, Garrett & Dunner LLP","Finnegan, Henderson, Farabow, Garrett & Dunner, LLP",100.0
9293,Alston & Bird,Alston & Bird LLP,100.0
9300,Foley & Lardner,Foley & Lardner LLP,100.0
9308,Wilson Sonsini Goodrich and Rosati,Wilson Sonsini Goodrich & Rosati,100.0
9319,"Schwegman, Lundberg & Woessner, P.A.","Schwegman Lundberg & Woessner, P.A.",100.0
9331,Panitch Schwarze Belisario & Nadel,Panitch Schwarze Belisario & Nadel LLP,100.0
9341,"Marshall, Gerstein & Borun LLP","MARSHALL, GERSTEIN & BORUN LLP",100.0
9344,Schwegman Lundberg & Woessner,"Schwegman Lundberg & Woessner, P.A.",100.0
9347,Rothwell Figg,"Rothwell, Figg, Ernst & Manbeck, P.C.",100.0
9350,"Birch Steward Kolasch and Birch, LLP","Birch, Stewart, Kolasch & Birch, LLP",100.0
9358,"Marshall, Gerstein & Bourn, LLP","MARSHALL, GERSTEIN & BORUN LLP",95.65217391304348
9361,Nicholson De Vos Webster & Elliott LLP,NICHOLSON DE VOS WEBSTER & ELLIOTT LLP,100.0
9368,"Spencer Fane Britt & Browne, LLP",Spencer Fane LLP,100.0
9370,"Lee & Hayes, Pllc","Lee & Hayes, P.C.",100.0
9385,"Morrison & Foerster, LLP",Morrison & Foerster LLP,100.0
9402,"Mintz, Levin, Cohn, Ferris, Glovsky and Popeo, P.C.","Mintz Levin Cohn Ferris Glovsky and Popeo, P.C.",100.0
9420,"Bose McKinney & Evans, LLP",Bose McKinney & Evans LLP,100.0
9424,"Hauptman Ham, LLP","HAUPTMAN HAM, LLP",100.0
9446,Norton Rose Fulbright,NORTON ROSE FULBRIGHT US LLP,100.0
9466,"Dorsey & Whitney, LLP",Dorsey & Whitney LLP,100.0
9468,Wilson Sonsini Goodrich and Rosati,Wilson Sonsini Goodrich & Rosati,100.0
9475,WARNER NORCROSS + JUDD LLP,Warner Norcross + Judd LLP,100.0
9479,Baker Botts LLP,Baker Botts L.L.P.,100.0
9492,"Johnson, Marcou & Isaacs, LLC","Johnson, Marcou, Isaacs & Nix, LLC",100.0
9501,"Duane Morris, LLP",Duane Morris LLP,100.0
9503,Dinsmore + Shohl LLP,Dinsmore & Shohl LLP,100.0
9513,"Schmeiser, Olsen & Watts, LLP","Schmeiser, Olsen & Watts LLP",100.0
9519,"Sheppard, Mullin, Richter & Hampton LLP",Sheppard Mullin Richter & Hampton LLP,100.0
9522,Shook Hardy & Bacon LLP,"Shook, Hardy & Bacon L.L.P.",100.0
9525,"Fish & Richardson, P.C.",Fish & Richardson P.C.,100.0
9549,Thorpe North and Western LLP,Thorpe North & Western,100.0
9558,"Shook, Hardy & Bacon","Shook, Hardy & Bacon L.L.P.",100.0
9578,"Marshall, Gerstein & Borun LLP","MARSHALL, GERSTEIN & BORUN LLP",100.0
9585,Scully Scott Murphy and Presser,"Scully, Scott, Murphy & Presser, P.C.",100.0
9588,"GOODWIN PROCTER, LLP.",Goodwin Procter LLP,100.0
9607,DLA Piper,DLA Piper LLP (US),100.0
9616,"Knobbe Martens Olson & Bear, LLP","Knobbe, Martens, Olson & Bear, LLP",100.0
9626,"Sterne, Kessleer, Goldstein & Fox, PLLC","Sterne, Kessler, Goldstein & Fox P.L.L.C.",98.24561403508773
9628,"Fox Rothschild, LLP",Fox Rothschild LLP,100.0
9639,"Eckert Seamans Cherin & Mellot, LLC","Eckert Seamans Cherin & Mellott, LLC",98.24561403508773
9640,Foley & Lardner,Foley & Lardner LLP,100.0
9642,Buchanan Ingersoll & Rooney,Buchanan Ingersoll & Rooney PC,100.0
9647,Flaster Greenberg PC,Flaster Greenberg P.C.,100.0
9656,"Kilpatrick, Townsend & Stockton, LLP",Kilpatrick Townsend & Stockton LLP,100.0
9658,"Lorenz & Kopf, LLP.",Lorenz & Kopf LLP,100.0
9679,"Lucas & Mercanti, LLP","LUCAS & MERCANTI, LLP",100.0
9681,"Merchant & Gould, P.C.",Merchant & Gould P.C.,100.0
9690,Troutman Sanders LLP,Troutman Pepper Hamilton Sanders LLP,100.0
9691,Cantor Colburn LLP,CANTOR COLBURN LLP,100.0
9701,Bookoff McAndrews PLLC,"Bookoff McAndrews, PLLC",100.0
9711,Micheal Best & Friedrich LLP,Michael Best & Friedrich LLP,95.45454545454545
9712,"Michael Best and Friedrich, LLP",Michael Best & Friedrich LLP,100.0
9730,"MORGAN LEWIS & BOCKIUS, LLP","Morgan, Lewis & Bockius LLP",100.0
9740,KILPATRICK TOWNSEND,Kilpatrick Townsend & Stockton LLP,100.0
9748,"Barclay Damon, LLP",Barclay Damon LLP,100.0
9750,Nicholson De Vos Webster & Elliott LLP,NICHOLSON DE VOS WEBSTER & ELLIOTT LLP,100.0
9768,"Lerner, David, Littenberg, Krumholz & Mentlik, LLP",Lerner David LLP,100.0
9769,Kusner & Jaffe,KUSNER & JAFFE,100.0
9772,Goodwin Procter,Goodwin Procter LLP,100.0
9779,McDermott Will and Emery,McDermott Will & Emery LLP,100.0
9795,Arent Fox LLP,ArentFox Schiff LLP,100.0
9802,Kinney & Lange PA,"Kinney & Lange, P.A.",100.0
9812,K & L Gates LLP,K&L Gates LLP,100.0
9815,"Harness, Dickey & Pierce, PLC","Harness, Dickey & Pierce, P.L.C.",100.0
9819,"Conley Rose, PC","Conley Rose, P.C.",100.0
9825,Norton Rose Fulbright US LLP,NORTON ROSE FULBRIGHT US LLP,100.0
9832,"Greer Burns and Crain, LTD.","Greer, Burns & Crain, Ltd.",100.0
9833,Locke Lord Bissell & Liddell LLP,Locke Lord LLP,100.0
9840,"Leydig, Voit & Mayer, LTD","Leydig, Voit & Mayer, Ltd.",100.0
9856,"Dority & Manning, PA","Dority & Manning, P.A.",100.0
9858,Mintz Levin,"Mintz Levin Cohn Ferris Glovsky and Popeo, P.C.",100.0
9867,"Locke Lord Bissell & Liddell, L.L.P.",Locke Lord LLP,100.0
9873,Morgan Lewis,"Morgan, Lewis & Bockius LLP",100.0
9879,"Nixon & Vanderhye, P.C.",Nixon & Vanderhye P.C.,100.0
9885,"Heslin Rothenberg Farley and Mesiti, P.C.",Heslin Rothenberg Farley & Mesiti P.C.,100.0
